09000|750
09010|750
09020|1050
09030|750
09040|750
09050|750
09060|750
09070|750
09080|750
09090|750
09001|750
09011|750
09021|750
09031|1500
09041|750
09051|750
09061|750
09071|750
09081|750
09091|750
09002|900
09012|900
09022|900
09032|900
09042|900
09052|900
09062|900
09072|900
09082|900
09092|900
09003|750
09013|750
09023|750
09033|750
09043|750
09053|750
09063|750
09073|750
09083|750
09093|750
09004|750
09014|750
09024|750
09034|750
09044|750
09054|750
09064|750
09074|750
09084|750
09094|750
09005|900
09015|900
09025|900
09035|900
09045|900
09055|900
09065|900
09075|900
09085|900
09095|1650
09006|750
09016|750
09026|750
09036|750
09046|750
09056|750
09066|750
09076|750
09086|750
09096|750
09007|750
09017|750
09027|750
09037|750
09047|750
09057|750
09067|750
09077|750
09087|750
09097|24750
09008|900
09018|900
09028|900
09038|900
09048|900
09058|900
09068|900
09078|900
09088|900
09098|1300000
09009|750
09019|750
09029|750
09039|750
09049|750
09059|750
09069|750
09079|750
09089|750
09099|25050
89300|750
89310|750
89320|1050
89330|750
89340|750
89350|750
89360|750
89370|750
89380|16075
89390|750
89301|750
89311|750
89321|750
89331|750
89341|750
89351|750
89361|750
89371|750
89381|750
89391|750
89302|900
89312|900
89322|900
89332|900
89342|900
89352|900
89362|900
89372|900
89382|900
89392|900
89303|750
89313|750
89323|750
89333|750
89343|750
89353|750
89363|750
89373|750
89383|750
89393|750
89304|750
89314|1500
89324|750
89334|750
89344|750
89354|750
89364|750
89374|750
89384|750
89394|750
89305|900
89315|900
89325|900
89335|900
89345|900
89355|900
89365|900
89375|900
89385|900
89395|900
89306|750
89316|750
89326|750
89336|750
89346|750
89356|750
89366|750
89376|750
89386|750
89396|750
89307|750
89317|750
89327|750
89337|1500
89347|750
89357|750
89367|750
89377|750
89387|750
89397|750
89308|900
89318|900
89328|900
89338|900
89348|900
89358|900
89368|900
89378|16225
89388|900
89398|1650
89309|750
89319|750
89329|750
89339|750
89349|750
89359|750
89369|750
89379|250000
89389|750
89399|1050
7010|3750
20|300
0181|3750
0471|3750
031|750
261|750
4992|3900
472|900
2|150
893|750
314|750
424|750
2965|3900
095|900
175|900
615|900
655|900
895|900
5|150
206|750
766|750
337|750
667|750
098|1650
98|900
8|150
99|300
